Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Bayer Leverkusen,5.04,0.77,4.27,4.38,0.64,3.74,0.66,0.13,0.53,5.04,0.77,4.27,3,1,2,-2.27,63.4,74.25,51.49,1.69,0.39,295,23,27,9,15.98,23.08,10.3,9,2,28,10,7,234.5,89.88,9.4,10.82,204.37,81.33,2,Hamburger SV 1-3 Bayer Leverkusen,2026-03-30
Hamburger SV,0.77,5.04,-4.27,0.64,4.38,-3.74,0.13,0.66,-0.53,0.77,5.04,-4.27,1,3,-2,2.27,36.6,25.75,39.44,0.39,1.69,93,5,9,27,23.08,15.98,17.61,2,9,12,3,6,26.4,10.12,77.47,89.18,46.93,18.67,1,Hamburger SV 1-3 Bayer Leverkusen,2026-03-30
Hoffenheim,1.76,2.61,-0.85,1.05,2.33,-1.28,0.72,0.28,0.44,1.76,2.61,-0.85,2,1,1,1.85,63.8,48.41,41.22,0.65,0.23,196,12,14,13,21.54,56.52,8.21,9,6,24,9,8,79.7,47.02,5.93,4.26,54.7,25.91,0,Freiburg 1-2 Hoffenheim,2026-03-29
Freiburg,2.61,1.76,0.85,2.33,1.05,1.28,0.28,0.72,-0.44,2.61,1.76,0.85,1,2,-1,-1.85,36.2,51.59,44.39,0.23,0.65,152,9,13,14,56.52,21.54,14.76,6,9,17,7,11,89.8,52.98,133.33,95.74,156.4,74.09,1,Freiburg 1-2 Hoffenheim,2026-03-29
Union Berlin,2.69,2.13,0.56,1.95,1.19,0.76,0.74,0.94,-0.2,2.69,2.13,0.56,3,3,0,-0.56,33.8,32.61,39.48,0.59,0.69,107,12,12,17,20.34,24.64,11.43,8,6,9,3,14,54.5,23.49,111.87,92.65,110.6,43.53,1,Wolfsburg 3-3 Union Berlin,2026-03-29
Wolfsburg,2.13,2.69,-0.56,1.19,1.95,-0.76,0.94,0.74,0.2,2.13,2.69,-0.56,3,3,0,0.56,66.2,67.39,46.94,0.69,0.59,281,12,17,12,24.64,20.34,7.28,6,8,16,4,11,177.5,76.51,8.87,7.35,143.47,56.47,1,Wolfsburg 3-3 Union Berlin,2026-03-29
SGS Essen,0.74,1.89,-1.15,0.74,1.37,-0.63,0.0,0.52,-0.52,0.74,1.89,-1.15,1,2,-1,0.15,47.5,52.36,42.45,0.37,0.52,155,9,11,12,29.73,23.08,7.76,9,10,16,5,9,53.8,43.6,54.07,65.51,80.47,50.06,1,Werder Bremen 2-1 SGS Essen,2026-03-29
Werder Bremen,1.89,0.74,1.15,1.37,0.74,0.63,0.52,0.0,0.52,1.89,0.74,1.15,2,1,1,-0.15,52.5,47.64,41.55,0.52,0.37,151,9,12,11,23.08,29.73,7.82,10,9,14,10,15,69.6,56.4,28.47,34.49,80.27,49.94,0,Werder Bremen 2-1 SGS Essen,2026-03-29
Eintracht Frankfurt,0.68,0.37,0.31,0.68,0.34,0.34,0.0,0.03,-0.03,0.68,0.37,0.31,2,1,1,0.69,53.6,41.76,44.23,0.66,0.7,189,11,9,4,13.64,5.71,11.14,4,5,14,3,13,67.5,55.6,41.13,51.28,68.33,54.1,1,Köln 1-2 Eintracht Frankfurt,2026-03-28
Köln,0.37,0.68,-0.31,0.34,0.68,-0.34,0.03,0.0,0.03,0.37,0.68,-0.31,1,2,-1,-0.69,46.4,58.24,45.68,0.7,0.66,204,17,4,9,5.71,13.64,13.56,5,4,24,6,9,53.9,44.4,39.07,48.72,57.97,45.9,3,Köln 1-2 Eintracht Frankfurt,2026-03-28
