Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Žilina,3.36,0.57,2.79,2.23,0.57,1.66,0.37,0.0,0.37,2.6,0.57,2.03,4,0,4,1.21,42.6,31.54,37.95,0.88,0.36,86,13,13,9,14.77,25.0,17.83,3,9,10,5,13,53.0,34.19,38.93,51.41,84.7,51.56,0,Tatran Prešov 0-4 Žilina,2025-11-01
Tatran Prešov,0.57,3.36,-2.79,0.57,2.23,-1.66,0.0,0.37,-0.37,0.57,2.6,-2.03,0,4,-4,-1.21,57.4,68.46,49.1,0.36,0.88,246,11,9,13,25.0,14.77,10.84,9,3,15,4,6,102.0,65.81,36.8,48.59,79.57,48.44,1,Tatran Prešov 0-4 Žilina,2025-11-01
FC Košice,1.54,2.44,-0.9,1.35,2.44,-1.09,0.18,0.0,0.18,1.54,2.44,-0.9,1,3,-2,-1.1,46.4,53.16,49.55,1.11,0.6,225,19,13,7,11.71,11.67,10.57,3,5,17,3,15,107.5,58.49,68.2,73.49,131.5,62.9,1,Spartak Trnava 3-1 FC Košice,2025-10-29
Spartak Trnava,2.44,1.54,0.9,2.44,1.35,1.09,0.0,0.18,-0.18,2.44,1.54,0.9,3,1,2,1.1,53.6,46.84,45.77,0.6,1.11,195,9,7,13,11.67,11.71,10.91,5,3,9,1,19,76.3,41.51,24.6,26.51,77.57,37.1,2,Spartak Trnava 3-1 FC Košice,2025-10-29
Slovan Bratislava,2.03,2.12,-0.09,1.46,2.05,-0.59,0.57,0.07,0.5,2.03,2.12,-0.09,3,2,1,1.09,74.9,73.05,50.25,1.11,0.8,357,22,22,13,19.82,16.25,6.43,3,7,28,9,7,232.6,87.12,0.07,0.03,99.27,46.16,1,Komárno 2-3 Slovan Bratislava,2025-10-29
Komárno,2.12,2.03,0.09,2.05,1.46,0.59,0.07,0.57,-0.5,2.12,2.03,0.09,2,3,-1,-1.09,25.1,26.95,48.07,0.8,1.11,106,15,13,22,16.25,19.82,16.88,7,3,10,1,15,34.4,12.88,208.87,99.97,115.77,53.84,3,Komárno 2-3 Slovan Bratislava,2025-10-29
Tatran Prešov,2.71,0.56,2.15,2.5,0.56,1.94,0.21,0.0,0.21,2.71,0.56,2.15,1,0,1,-1.15,46.6,46.27,53.98,0.45,0.29,277,16,19,5,42.22,17.24,15.76,2,3,18,4,9,161.4,61.65,97.53,66.93,152.47,79.04,1,Slovan Bratislava 0-1 Tatran Prešov,2025-10-26
Slovan Bratislava,0.56,2.71,-2.15,0.56,2.5,-1.94,0.0,0.21,-0.21,0.56,2.71,-2.15,0,1,-1,1.15,53.4,53.73,50.06,0.29,0.45,270,13,5,19,17.24,42.22,17.94,3,2,10,3,11,100.4,38.35,48.2,33.07,40.43,20.96,0,Slovan Bratislava 0-1 Tatran Prešov,2025-10-26
Spartak Trnava,1.59,1.15,0.44,1.42,1.03,0.39,0.18,0.12,0.06,1.59,1.15,0.44,1,1,0,-0.44,65.3,58.49,47.84,1.06,0.57,252,15,15,11,14.15,19.3,7.23,3,2,22,7,14,131.4,68.3,1.2,1.09,67.63,28.79,0,Ružomberok 1-1 Spartak Trnava,2025-10-26
Ružomberok,1.15,1.59,-0.44,1.03,1.42,-0.39,0.12,0.18,-0.06,1.15,1.59,-0.44,1,1,0,0.44,34.7,41.51,48.18,0.57,1.06,141,17,11,15,19.3,14.15,14.29,2,3,15,6,15,61.0,31.7,108.4,98.91,167.27,71.21,2,Ružomberok 1-1 Spartak Trnava,2025-10-26
