Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Dibba Al Fujairah,1.47,1.61,-0.14,1.29,1.54,-0.25,0.18,0.08,0.1,1.47,1.61,-0.14,1,0,1,1.14,34.0,24.17,42.05,0.58,1.32,96,8,9,14,15.52,10.61,15.89,0,2,8,1,14,18.7,10.26,87.67,93.79,40.6,34.69,1,Al Bataeh 0-1 Dibba Al Fujairah,2026-01-03
Al Bataeh,1.61,1.47,0.14,1.54,1.29,0.25,0.08,0.18,-0.1,1.61,1.47,0.14,0,1,-1,-1.14,66.0,75.83,53.02,1.32,0.58,329,20,14,9,10.61,15.52,7.7,2,0,37,10,13,163.5,89.74,5.8,6.21,76.43,65.31,0,Al Bataeh 0-1 Dibba Al Fujairah,2026-01-03
Sharjah,0.8,2.42,-1.62,0.8,2.37,-1.57,0.0,0.05,-0.05,0.8,2.42,-1.62,0,1,-1,0.62,52.9,56.27,51.72,1.41,0.94,219,14,11,15,7.8,15.96,9.81,3,5,19,1,18,115.9,57.81,46.4,56.63,110.6,59.29,1,Al Ain 1-0 Sharjah,2026-01-02
Al Ain,2.42,0.8,1.62,2.37,0.8,1.57,0.05,0.0,0.05,2.42,0.8,1.62,1,0,1,-0.62,47.1,43.73,45.84,0.94,1.41,152,12,15,11,15.96,7.8,7.74,5,3,15,3,11,84.6,42.19,35.53,43.37,75.93,40.71,0,Al Ain 1-0 Sharjah,2026-01-02
Al Nasr,0.74,4.44,-3.7,0.67,3.42,-2.75,0.07,0.26,-0.19,0.74,3.68,-2.94,2,1,1,4.7,58.5,52.56,47.62,0.38,1.09,241,8,7,23,18.42,21.1,11.5,7,5,8,2,13,63.6,33.0,29.93,23.3,40.73,22.78,0,Bani Yas 1-2 Al Nasr,2026-01-02
Bani Yas,4.44,0.74,3.7,3.42,0.67,2.75,0.26,0.07,0.19,3.68,0.74,2.94,1,2,-1,-4.7,41.5,47.44,45.07,1.09,0.38,153,18,23,7,21.1,18.42,20.32,5,7,21,9,8,129.1,67.0,98.53,76.7,138.03,77.22,0,Bani Yas 1-2 Al Nasr,2026-01-02
Al Dhafra,0.71,3.09,-2.38,0.59,2.2,-1.61,0.13,0.13,0.0,0.71,2.33,-1.62,3,2,1,3.38,37.1,38.7,45.57,0.88,1.08,129,7,9,14,10.23,12.96,19.21,4,3,15,3,11,49.1,29.94,114.33,96.19,97.17,44.05,3,Khorfakkan 2-3 Al Dhafra,2026-01-02
Khorfakkan,3.09,0.71,2.38,2.2,0.59,1.61,0.13,0.13,0.0,2.33,0.71,1.62,2,3,-1,-3.38,62.9,61.3,45.57,1.08,0.88,206,19,14,9,12.96,10.23,8.56,3,4,17,5,12,114.9,70.06,4.53,3.81,123.4,55.95,0,Khorfakkan 2-3 Al Dhafra,2026-01-02
Al Wahda,0.99,1.02,-0.03,0.91,1.02,-0.11,0.08,0.0,0.08,0.99,1.02,-0.03,0,1,-1,-0.97,49.2,56.88,46.29,0.73,0.36,199,13,10,2,13.7,5.56,9.07,5,0,21,6,16,95.8,67.04,72.67,71.85,113.7,83.66,2,Al Wasl 1-0 Al Wahda,2026-01-02
Al Wasl,1.02,0.99,0.03,1.02,0.91,0.11,0.0,0.08,-0.08,1.02,0.99,0.03,1,0,1,0.97,50.8,43.12,43.27,0.36,0.73,164,3,2,10,5.56,13.7,13.69,0,5,11,4,16,47.1,32.96,28.47,28.15,22.2,16.34,0,Al Wasl 1-0 Al Wahda,2026-01-02
