Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Dordrecht,1.32,0.63,0.69,1.25,0.31,0.94,0.08,0.33,-0.25,1.32,0.63,0.69,1,1,0,-0.69,58.4,60.86,46.89,0.76,0.51,234,12,17,10,22.37,19.61,9.48,5,2,33,9,9,100.0,67.39,23.87,27.12,81.27,50.57,3,Dordrecht 1-1 MVV,2026-03-06
PSV II,1.98,1.29,0.69,1.11,1.22,-0.11,0.11,0.07,0.04,1.22,1.29,-0.07,2,0,2,1.31,53.9,54.73,47.1,0.86,0.71,230,11,13,13,15.12,18.31,9.39,12,2,12,3,9,81.2,69.4,37.27,39.54,100.97,70.38,2,Roda JC 0-2 PSV II,2026-03-06
Roda JC,1.29,1.98,-0.69,1.22,1.11,0.11,0.07,0.11,-0.04,1.29,1.22,0.07,0,2,-2,-1.31,46.1,45.27,43.79,0.71,0.86,177,12,13,13,18.31,15.12,15.04,2,12,15,2,12,35.8,30.6,57.0,60.46,42.5,29.62,2,Roda JC 0-2 PSV II,2026-03-06
Almere City,1.02,2.37,-1.35,1.02,2.02,-1.0,0.0,0.34,-0.34,1.02,2.37,-1.35,2,3,-1,0.35,44.2,37.58,42.45,0.43,0.65,150,15,7,22,16.28,33.85,11.82,6,8,19,6,17,42.2,17.34,57.33,55.44,27.47,11.69,2,Cambuur 3-2 Almere City,2026-03-03
Cambuur,2.37,1.02,1.35,2.02,1.02,1.0,0.34,0.0,0.34,2.37,1.02,1.35,3,2,1,-0.35,55.8,62.42,51.08,0.65,0.43,265,21,22,7,33.85,16.28,11.43,8,6,20,5,3,201.1,82.66,46.07,44.56,207.43,88.31,0,Cambuur 3-2 Almere City,2026-03-03
Utrecht II,0.71,1.29,-0.58,0.53,1.25,-0.72,0.19,0.04,0.15,0.71,1.29,-0.58,0,1,-1,-0.42,55.7,57.66,48.46,0.48,0.39,210,15,10,8,20.83,20.51,7.1,7,10,24,8,16,80.4,63.36,39.8,46.75,75.03,49.62,1,Emmen 1-0 Utrecht II,2026-03-02
Emmen,1.29,0.71,0.58,1.25,0.53,0.72,0.04,0.19,-0.15,1.29,0.71,0.58,1,0,1,0.42,44.3,42.34,44.47,0.39,0.48,131,11,8,10,20.51,20.83,6.89,10,7,11,4,15,46.5,36.64,45.33,53.25,76.17,50.38,0,Emmen 1-0 Utrecht II,2026-03-02
Cambuur,2.24,1.67,0.57,2.02,0.85,1.17,0.21,0.05,0.16,2.24,0.91,1.33,2,1,1,0.43,63.1,65.59,51.2,0.68,0.43,307,20,19,8,27.94,18.6,8.93,6,3,22,10,14,196.1,88.1,10.2,11.12,147.6,78.75,0,TOP Oss 1-2 Cambuur,2026-02-27
TOP Oss,1.67,2.24,-0.57,0.85,2.02,-1.17,0.05,0.21,-0.16,0.91,2.24,-1.33,1,2,-1,-0.43,36.9,34.41,42.46,0.43,0.68,116,4,8,19,18.6,27.94,14.7,3,6,21,4,10,26.5,11.9,81.53,88.88,39.83,21.25,0,TOP Oss 1-2 Cambuur,2026-02-27
Eindhoven,1.82,1.96,-0.14,1.52,1.79,-0.27,0.3,0.17,0.13,1.82,1.96,-0.14,1,2,-1,-0.86,47.6,48.85,47.72,0.34,1.07,200,13,21,13,61.76,12.15,11.93,4,1,21,9,12,111.6,52.57,65.73,79.58,124.23,57.51,4,RKC Waalwijk 2-1 Eindhoven,2026-02-27
RKC Waalwijk,1.96,1.82,0.14,1.79,1.52,0.27,0.17,0.3,-0.13,1.96,1.82,0.14,2,1,1,0.86,52.4,51.15,47.0,1.07,0.34,215,15,13,21,12.15,61.76,11.89,1,4,18,7,7,100.7,47.43,16.87,20.42,91.77,42.49,1,RKC Waalwijk 2-1 Eindhoven,2026-02-27
De Graafschap,2.01,1.56,0.45,2.01,1.29,0.72,0.0,0.27,-0.27,2.01,1.56,0.45,3,3,0,-0.45,67.5,60.24,46.78,1.23,0.87,248,18,24,18,19.51,20.69,8.68,6,1,27,4,4,160.8,71.79,0.47,0.31,84.3,38.48,1,MVV 3-3 De Graafschap,2026-02-27
MVV,1.56,2.01,-0.45,1.29,2.01,-0.72,0.27,0.0,0.27,1.56,2.01,-0.45,3,3,0,0.45,32.5,39.76,48.38,0.87,1.23,143,12,18,24,20.69,19.51,31.0,1,6,24,9,12,63.2,28.21,153.53,99.69,134.77,61.52,0,MVV 3-3 De Graafschap,2026-02-27
Dordrecht,0.77,1.98,-1.21,0.73,1.78,-1.05,0.04,0.2,-0.16,0.77,1.98,-1.21,1,1,0,1.21,48.0,45.51,41.85,0.52,1.24,163,8,13,17,25.0,13.71,9.58,6,5,16,4,12,73.4,35.05,45.07,52.94,72.63,35.45,1,PSV II 1-1 Dordrecht,2026-02-27
PSV II,1.98,0.77,1.21,1.78,0.73,1.05,0.2,0.04,0.16,1.98,0.77,1.21,1,1,0,-1.21,52.0,54.49,47.37,1.24,0.52,209,15,17,13,13.71,25.0,13.36,5,6,22,6,11,136.0,64.95,40.07,47.06,132.23,64.55,0,PSV II 1-1 Dordrecht,2026-02-27
Almere City,2.34,2.84,-0.5,1.5,2.03,-0.53,0.84,0.06,0.78,2.34,2.08,0.26,3,2,1,1.5,54.8,54.17,45.79,1.05,0.82,225,13,19,16,18.1,19.51,7.3,11,6,25,8,11,115.4,58.02,16.2,21.22,84.03,44.3,1,Utrecht II 2-3 Almere City,2026-02-27
Utrecht II,2.84,2.34,0.5,2.03,1.5,0.53,0.06,0.84,-0.78,2.08,2.34,-0.26,2,3,-1,-1.5,45.2,45.83,46.46,0.82,1.05,172,16,16,19,19.51,18.1,10.31,6,11,14,3,13,83.5,41.98,60.13,78.78,105.67,55.7,2,Utrecht II 2-3 Almere City,2026-02-27
Helmond Sport,0.63,2.38,-1.75,0.43,2.29,-1.86,0.2,0.09,0.11,0.63,2.38,-1.75,1,5,-4,-2.25,61.4,71.15,50.46,0.93,0.6,308,13,13,17,13.98,28.33,7.87,4,4,30,10,14,150.7,76.97,26.0,24.83,99.17,52.89,0,Ajax II 5-1 Helmond Sport,2026-02-27
Ajax II,2.38,0.63,1.75,2.29,0.43,1.86,0.09,0.2,-0.11,2.38,0.63,1.75,5,1,4,2.25,38.6,28.85,39.87,0.6,0.93,122,13,17,13,28.33,13.98,11.8,4,4,7,4,13,45.1,23.03,78.73,75.17,88.33,47.11,0,Ajax II 5-1 Helmond Sport,2026-02-27
Willem II,3.56,0.82,2.74,3.52,0.79,2.73,0.03,0.03,0.0,3.56,0.82,2.74,3,0,3,0.26,50.9,44.67,45.16,1.17,0.43,193,15,23,13,19.66,30.23,17.58,2,3,21,5,8,109.5,58.18,40.67,41.25,128.37,68.46,0,Emmen 0-3 Willem II,2026-02-27
Emmen,0.82,3.56,-2.74,0.79,3.52,-2.73,0.03,0.03,0.0,0.82,3.56,-2.74,0,3,-3,-0.26,49.1,55.33,50.24,0.43,1.17,243,13,13,23,30.23,19.66,16.04,3,2,25,8,7,78.7,41.82,57.93,58.75,59.13,31.54,0,Emmen 0-3 Willem II,2026-02-27
Roda JC,1.3,1.72,-0.42,1.11,1.34,-0.23,0.19,0.38,-0.19,1.3,1.72,-0.42,2,2,0,0.42,61.9,64.46,47.41,1.11,1.12,264,19,18,13,16.22,11.61,10.29,4,3,24,7,8,108.8,74.62,23.0,22.45,70.57,35.71,1,Den Bosch 2-2 Roda JC,2026-02-27
Den Bosch,1.72,1.3,0.42,1.34,1.11,0.23,0.38,0.19,0.19,1.72,1.3,0.42,2,2,0,-0.42,38.1,35.54,42.11,1.12,1.11,115,12,13,18,11.61,16.22,14.65,3,4,10,3,15,37.0,25.38,79.47,77.55,127.07,64.29,2,Den Bosch 2-2 Roda JC,2026-02-27
VVV,0.23,2.77,-2.54,0.08,2.47,-2.39,0.15,0.3,-0.15,0.23,2.77,-2.54,0,1,-1,1.54,40.8,27.83,39.31,0.36,0.64,115,4,4,27,11.11,42.19,13.09,3,11,13,2,18,16.5,6.52,68.4,70.86,28.67,10.55,0,ADO Den Haag 1-0 VVV,2026-02-27
ADO Den Haag,2.77,0.23,2.54,2.47,0.08,2.39,0.3,0.15,0.15,2.77,0.23,2.54,1,0,1,-1.54,59.2,72.17,49.14,0.64,0.36,288,22,27,4,42.19,11.11,7.88,11,3,25,8,13,236.7,93.48,28.13,29.14,243.1,89.45,4,ADO Den Haag 1-0 VVV,2026-02-27
AZ II,0.59,1.49,-0.9,0.56,1.19,-0.63,0.03,0.3,-0.27,0.59,1.49,-0.9,0,2,-2,-1.1,52.2,48.35,46.97,0.53,0.68,232,9,8,21,15.09,30.88,10.11,6,5,7,1,14,71.8,40.25,62.27,45.65,51.73,27.86,1,Vitesse 2-0 AZ II,2026-02-27
Vitesse,1.49,0.59,0.9,1.19,0.56,0.63,0.3,0.03,0.27,1.49,0.59,0.9,2,0,2,1.1,47.8,51.65,45.41,0.68,0.53,185,8,21,8,30.88,15.09,10.77,5,6,19,7,10,106.6,59.75,74.13,54.35,133.97,72.14,0,Vitesse 2-0 AZ II,2026-02-27
Eindhoven,2.23,1.99,0.24,1.31,1.98,-0.67,0.16,0.01,0.15,1.47,1.99,-0.52,1,2,-1,-1.24,41.2,40.23,43.62,0.57,1.14,137,6,17,14,29.82,12.28,15.08,3,6,13,4,15,44.6,29.48,79.8,80.5,80.57,56.24,3,Cambuur 2-1 Eindhoven,2026-02-24
Cambuur,1.99,2.23,-0.24,1.98,1.31,0.67,0.01,0.16,-0.15,1.99,1.47,0.52,2,1,1,1.24,58.8,59.77,44.87,1.14,0.57,188,19,14,17,12.28,29.82,8.88,6,3,17,7,7,106.7,70.52,19.33,19.5,62.7,43.76,0,Cambuur 2-1 Eindhoven,2026-02-24
ADO Den Haag,1.22,0.6,0.62,1.12,0.5,0.62,0.1,0.1,0.0,1.22,0.6,0.62,1,0,1,0.38,54.8,50.98,43.42,0.51,0.74,190,13,13,7,25.49,9.46,10.82,5,3,18,4,19,85.5,58.16,36.73,31.32,42.27,30.4,5,Willem II 0-1 ADO Den Haag,2026-02-24
Willem II,0.6,1.22,-0.62,0.5,1.12,-0.62,0.1,0.1,0.0,0.6,1.22,-0.62,0,1,-1,-0.38,45.2,49.02,46.29,0.74,0.51,197,12,7,13,9.46,25.49,15.4,3,5,25,4,7,61.5,41.84,80.53,68.68,96.77,69.6,0,Willem II 0-1 ADO Den Haag,2026-02-24
Den Bosch,0.96,2.0,-1.04,0.87,1.2,-0.33,0.1,0.79,-0.69,0.96,2.0,-1.04,2,2,0,1.04,33.5,31.14,41.16,0.77,0.85,108,12,8,11,10.39,12.94,14.71,6,7,11,3,11,36.0,17.49,132.87,95.27,88.47,64.78,1,AZ II 2-2 Den Bosch,2026-02-23
AZ II,2.0,0.96,1.04,1.2,0.87,0.33,0.79,0.1,0.69,2.0,0.96,1.04,2,2,0,-1.04,66.5,68.86,47.93,0.85,0.77,319,10,11,8,12.94,10.39,7.56,7,6,18,6,13,169.8,82.51,6.6,4.73,48.1,35.22,0,AZ II 2-2 Den Bosch,2026-02-23
Ajax II,1.44,1.04,0.4,1.03,1.01,0.02,0.41,0.03,0.38,1.44,1.04,0.4,0,0,0,-0.4,49.3,39.67,44.79,0.46,0.74,187,9,11,15,23.91,20.27,11.75,0,7,11,5,16,69.7,35.17,22.73,27.79,50.07,25.64,0,Emmen 0-0 Ajax II,2026-02-23
Emmen,1.04,1.44,-0.4,1.01,1.03,-0.02,0.03,0.41,-0.38,1.04,1.44,-0.4,0,0,0,0.4,50.7,60.33,56.22,0.74,0.46,290,21,15,11,20.27,23.91,8.2,7,0,38,7,13,128.5,64.83,59.07,72.21,145.2,74.36,0,Emmen 0-0 Ajax II,2026-02-23
MVV,1.22,4.02,-2.8,1.04,3.96,-2.92,0.18,0.06,0.12,1.22,4.02,-2.8,0,2,-2,0.8,45.7,36.12,41.23,0.48,0.99,141,5,9,18,18.75,18.18,10.97,2,4,6,1,23,40.3,20.67,50.07,47.99,36.47,15.7,0,Roda JC 2-0 MVV,2026-02-22
Roda JC,4.02,1.22,2.8,3.96,1.04,2.92,0.06,0.18,-0.12,4.02,1.22,2.8,2,0,2,-0.8,54.3,63.88,48.29,0.99,0.48,224,20,18,9,18.18,18.75,8.39,4,2,24,10,15,154.7,79.33,54.27,52.01,195.87,84.3,1,Roda JC 2-0 MVV,2026-02-22
Almere City,2.58,2.2,0.38,2.35,2.1,0.25,0.24,0.1,0.14,2.58,2.2,0.38,2,3,-1,-1.38,51.9,51.34,44.58,1.3,1.57,196,19,18,19,13.85,12.1,16.14,1,4,28,10,8,95.4,45.09,31.47,36.01,78.5,40.51,3,Eindhoven 3-2 Almere City,2026-02-21
Eindhoven,2.2,2.58,-0.38,2.1,2.35,-0.25,0.1,0.24,-0.14,2.2,2.58,-0.38,3,2,1,1.38,48.1,48.66,47.4,1.57,1.3,199,17,19,18,12.1,13.85,13.5,4,1,21,4,11,116.2,54.91,55.93,63.99,115.27,59.49,0,Eindhoven 3-2 Almere City,2026-02-21
TOP Oss,0.33,2.96,-2.63,0.33,2.56,-2.23,0.0,0.4,-0.4,0.33,2.96,-2.63,1,1,0,2.63,33.9,28.44,42.25,0.26,1.32,98,7,7,22,26.92,16.67,11.66,2,5,11,3,17,16.3,6.79,95.4,91.79,47.17,25.95,0,VVV 1-1 TOP Oss,2026-02-20
VVV,2.96,0.33,2.63,2.56,0.33,2.23,0.4,0.0,0.4,2.96,0.33,2.63,1,1,0,-2.63,66.1,71.56,51.63,1.32,0.26,282,26,22,7,16.67,26.92,5.72,5,2,47,10,11,223.6,93.21,8.53,8.21,134.6,74.05,0,VVV 1-1 TOP Oss,2026-02-20
RKC Waalwijk,1.57,3.38,-1.81,1.57,1.82,-0.25,0.0,1.56,-1.56,1.57,3.38,-1.81,1,1,0,1.81,39.6,39.02,46.26,0.83,1.34,158,11,11,22,13.25,16.42,12.97,4,6,7,0,21,67.9,31.52,79.47,82.66,101.8,56.21,1,Cambuur 1-1 RKC Waalwijk,2026-02-20
Cambuur,3.38,1.57,1.81,1.82,1.57,0.25,1.56,0.0,1.56,3.38,1.57,1.81,1,1,0,-1.81,60.4,60.98,46.92,1.34,0.83,252,20,22,11,16.42,13.25,7.55,6,4,27,7,9,147.5,68.48,16.67,17.34,79.3,43.79,1,Cambuur 1-1 RKC Waalwijk,2026-02-20
ADO Den Haag,0.74,1.2,-0.46,0.63,1.14,-0.51,0.11,0.06,0.05,0.74,1.2,-0.46,3,1,2,2.46,53.0,70.66,52.78,0.69,0.26,270,24,13,10,18.84,38.46,9.24,9,2,29,6,12,185.1,78.43,56.6,51.93,190.47,84.45,5,Helmond Sport 1-3 ADO Den Haag,2026-02-20
Helmond Sport,1.2,0.74,0.46,1.14,0.63,0.51,0.06,0.11,-0.05,1.2,0.74,0.46,1,3,-2,-2.46,47.0,29.34,42.29,0.26,0.69,145,9,10,13,38.46,18.84,14.86,2,9,10,4,13,50.9,21.57,52.4,48.07,35.07,15.55,0,Helmond Sport 1-3 ADO Den Haag,2026-02-20
PSV II,2.18,4.36,-2.18,1.69,4.0,-2.31,0.49,0.37,0.12,2.18,4.36,-2.18,3,2,1,3.18,48.8,46.43,45.29,0.85,1.34,182,16,17,26,20.0,19.4,10.09,7,9,23,9,10,123.0,51.19,45.87,46.9,121.57,57.16,0,Emmen 2-3 PSV II,2026-02-20
Emmen,4.36,2.18,2.18,4.0,1.69,2.31,0.37,0.49,-0.12,4.36,2.18,2.18,2,3,-1,-3.18,51.2,53.57,48.36,1.34,0.85,200,21,26,17,19.4,20.0,10.6,9,7,33,13,9,117.3,48.81,51.93,53.1,91.13,42.84,0,Emmen 2-3 PSV II,2026-02-20
Ajax II,1.08,0.87,0.21,1.08,0.7,0.38,0.0,0.17,-0.17,1.08,0.87,0.21,1,0,1,0.79,36.9,29.66,41.35,0.51,1.06,130,7,11,16,21.57,15.09,13.35,7,6,14,3,13,44.6,18.54,102.47,81.58,71.6,35.4,1,Dordrecht 0-1 Ajax II,2026-02-20
Dordrecht,0.87,1.08,-0.21,0.7,1.08,-0.38,0.17,0.0,0.17,0.87,1.08,-0.21,0,1,-1,-0.79,63.1,70.34,51.43,1.06,0.51,342,28,16,11,15.09,21.57,8.39,6,7,32,7,7,196.0,81.46,23.13,18.42,130.67,64.6,0,Dordrecht 0-1 Ajax II,2026-02-20
Utrecht II,0.57,2.56,-1.99,0.55,2.49,-1.94,0.02,0.07,-0.05,0.57,2.56,-1.99,0,1,-1,0.99,39.9,52.65,49.23,0.43,1.22,152,9,11,18,25.58,14.75,12.31,8,4,13,3,7,37.5,29.27,121.8,98.44,105.9,69.52,3,De Graafschap 1-0 Utrecht II,2026-02-20
De Graafschap,2.56,0.57,1.99,2.49,0.55,1.94,0.07,0.02,0.05,2.56,0.57,1.99,1,0,1,-0.99,60.1,47.35,41.65,1.22,0.43,154,16,18,11,14.75,25.58,7.67,4,8,23,5,13,90.6,70.73,1.93,1.56,46.43,30.48,1,De Graafschap 1-0 Utrecht II,2026-02-20
Vitesse,1.12,2.26,-1.14,0.9,1.56,-0.66,0.22,0.7,-0.48,1.12,2.26,-1.14,0,3,-3,-1.86,56.1,56.82,47.42,0.75,1.04,251,10,17,13,22.67,12.5,12.35,4,3,25,6,11,117.6,57.68,27.4,27.02,56.83,27.67,2,Willem II 3-0 Vitesse,2026-02-20
Willem II,2.26,1.12,1.14,1.56,0.9,0.66,0.7,0.22,0.48,2.26,1.12,1.14,3,0,3,1.86,43.9,43.18,47.95,1.04,0.75,186,13,13,17,12.5,22.67,13.86,3,4,22,6,11,86.3,42.32,74.0,72.98,148.53,72.33,0,Willem II 3-0 Vitesse,2026-02-20
Willem II,2.3,1.5,0.8,2.0,0.73,1.27,0.3,0.01,0.29,2.3,0.74,1.56,1,1,0,-0.8,49.8,59.2,51.73,2.01,0.98,272,26,20,12,9.95,12.24,11.74,6,3,33,8,9,123.8,72.31,77.0,60.12,161.6,85.02,0,Utrecht II 1-1 Willem II,2026-02-16
Utrecht II,1.5,2.3,-0.8,0.73,2.0,-1.27,0.01,0.3,-0.29,0.74,2.3,-1.56,1,1,0,0.8,50.2,40.8,46.12,0.98,2.01,199,13,12,20,12.24,9.95,13.5,3,6,11,2,14,47.4,27.69,51.07,39.88,28.47,14.98,0,Utrecht II 1-1 Willem II,2026-02-16
Cambuur,2.15,1.54,0.61,1.18,0.74,0.44,0.21,0.04,0.17,1.39,0.78,0.61,2,1,1,0.39,51.2,63.86,50.28,0.88,0.3,214,19,14,10,15.91,33.33,8.79,8,5,21,9,16,155.7,84.34,68.6,71.66,212.9,89.48,1,Ajax II 1-2 Cambuur,2026-02-16
Ajax II,1.54,2.15,-0.61,0.74,1.18,-0.44,0.04,0.21,-0.17,0.78,1.39,-0.61,1,2,-1,-0.39,48.8,36.14,39.02,0.3,0.88,123,7,10,14,33.33,15.91,7.49,5,8,12,3,14,28.9,15.66,27.13,28.34,25.03,10.52,0,Ajax II 1-2 Cambuur,2026-02-16
VVV,1.74,1.5,0.24,1.7,1.45,0.25,0.04,0.05,-0.01,1.74,1.5,0.24,2,2,0,-0.24,49.0,47.45,42.26,0.58,1.2,150,8,12,15,20.69,12.5,8.44,8,6,16,3,15,58.4,39.3,36.27,42.47,56.8,34.26,0,Vitesse 2-2 VVV,2026-02-14
Vitesse,1.5,1.74,-0.24,1.45,1.7,-0.25,0.05,0.04,0.01,1.5,1.74,-0.24,2,2,0,0.24,51.0,52.55,42.64,1.2,0.58,163,16,15,12,12.5,20.69,10.44,6,8,25,6,13,90.2,60.7,49.13,57.53,108.97,65.74,0,Vitesse 2-2 VVV,2026-02-14
AZ II,2.3,2.39,-0.09,2.01,2.09,-0.08,0.29,0.3,-0.01,2.3,2.39,-0.09,3,0,3,3.09,49.7,50.97,48.4,0.74,0.96,220,15,25,17,33.78,17.71,12.73,5,10,7,4,13,138.7,64.69,49.27,49.6,155.47,73.39,1,TOP Oss 0-3 AZ II,2026-02-13
TOP Oss,2.39,2.3,0.09,2.09,2.01,0.08,0.3,0.29,0.01,2.39,2.3,0.09,0,3,-3,-3.09,50.3,49.03,42.88,0.96,0.74,177,15,17,25,17.71,33.78,10.79,10,5,27,10,7,75.7,35.31,50.07,50.4,56.37,26.61,0,TOP Oss 0-3 AZ II,2026-02-13
Roda JC,2.28,1.46,0.82,1.66,1.33,0.33,0.62,0.14,0.48,2.28,1.46,0.82,2,1,1,0.18,51.4,58.93,48.84,1.2,1.03,257,22,16,13,13.33,12.62,12.45,5,5,23,8,7,152.3,63.8,52.53,47.24,136.2,67.68,2,RKC Waalwijk 1-2 Roda JC,2026-02-13
RKC Waalwijk,1.46,2.28,-0.82,1.33,1.66,-0.33,0.14,0.62,-0.48,1.46,2.28,-0.82,1,2,-1,-0.18,48.6,41.07,47.26,1.03,1.2,202,16,13,16,12.62,13.33,11.25,5,5,29,4,9,86.4,36.2,58.67,52.76,65.03,32.32,0,RKC Waalwijk 1-2 Roda JC,2026-02-13
De Graafschap,1.93,1.17,0.76,1.6,1.17,0.43,0.33,0.0,0.33,1.93,1.17,0.76,2,1,1,0.24,71.5,71.77,41.91,1.35,0.21,232,21,18,9,13.33,42.86,5.28,11,6,31,15,10,144.0,87.64,9.13,4.07,51.97,27.48,3,PSV II 1-2 De Graafschap,2026-02-13
PSV II,1.17,1.93,-0.76,1.17,1.6,-0.43,0.0,0.33,-0.33,1.17,1.93,-0.76,1,2,-1,-0.24,28.5,28.23,38.87,0.21,1.35,79,6,9,18,42.86,13.33,20.52,6,11,9,0,10,20.3,12.36,215.33,95.93,137.17,72.52,2,PSV II 1-2 De Graafschap,2026-02-13
Emmen,1.11,0.89,0.22,0.9,0.7,0.2,0.2,0.19,0.01,1.11,0.89,0.22,0,1,-1,-1.22,46.5,48.71,49.36,0.6,0.65,182,8,12,13,20.0,20.0,9.71,3,0,24,7,14,80.4,45.42,68.33,70.3,83.33,53.62,0,Dordrecht 1-0 Emmen,2026-02-13
Dordrecht,0.89,1.11,-0.22,0.7,0.9,-0.2,0.19,0.2,-0.01,0.89,1.11,-0.22,1,0,1,1.22,53.5,51.29,47.13,0.65,0.6,197,13,13,12,20.0,20.0,8.59,0,3,21,8,10,96.6,54.58,28.87,29.7,72.07,46.38,0,Dordrecht 1-0 Emmen,2026-02-13
Helmond Sport,1.0,0.54,0.46,0.98,0.27,0.71,0.02,0.27,-0.25,1.0,0.54,0.46,1,0,1,0.54,30.7,24.7,41.05,0.16,0.92,97,5,7,15,43.75,16.3,12.38,3,6,7,1,16,19.4,8.43,112.73,98.32,60.57,47.16,0,Almere City 0-1 Helmond Sport,2026-02-13
