Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Henan,1.07,1.98,-0.91,1.07,1.94,-0.87,0.01,0.05,-0.04,1.07,1.98,-0.91,1,2,-1,-0.09,41.9,32.99,44.12,0.3,1.32,118,8,4,19,13.33,14.39,7.7,4,7,10,2,19,32.1,16.04,70.87,73.21,41.37,31.29,3,Dalian Yingbo 2-1 Henan,2026-04-18
Dalian Yingbo,1.98,1.07,0.91,1.94,1.07,0.87,0.05,0.01,0.04,1.98,1.07,0.91,2,1,1,0.09,58.1,67.01,54.27,1.32,0.3,279,25,19,4,14.39,13.33,6.45,7,4,29,6,16,168.0,83.96,25.93,26.79,90.83,68.71,2,Dalian Yingbo 2-1 Henan,2026-04-18
Tianjin Jinmen Tiger,2.11,2.43,-0.32,2.1,2.26,-0.16,0.01,0.16,-0.15,2.11,2.43,-0.32,3,0,3,3.32,29.7,17.8,33.31,0.24,1.84,44,2,8,24,33.33,13.04,23.38,0,3,9,2,9,8.4,3.17,100.07,87.47,48.6,30.15,0,Yunnan Yukun 0-3 Tianjin Jinmen Tiger,2026-04-17
Yunnan Yukun,2.43,2.11,0.32,2.26,2.1,0.16,0.16,0.01,0.15,2.43,2.11,0.32,0,3,-3,-3.32,70.3,82.2,55.92,1.84,0.24,362,20,24,8,13.04,33.33,10.24,3,0,43,5,12,256.3,96.83,14.33,12.53,112.57,69.85,2,Yunnan Yukun 0-3 Tianjin Jinmen Tiger,2026-04-17
Chengdu Rongcheng,1.77,1.61,0.16,0.62,1.56,-0.94,0.4,0.05,0.35,1.01,1.61,-0.6,1,0,1,0.84,48.1,46.18,47.51,0.8,0.51,177,12,9,15,11.25,29.41,8.09,7,6,14,4,17,82.5,44.24,47.07,51.87,74.23,50.44,1,Wuhan Three Towns 0-1 Chengdu Rongcheng,2026-04-17
Wuhan Three Towns,1.61,1.77,-0.16,1.56,0.62,0.94,0.05,0.4,-0.35,1.61,1.01,0.6,0,1,-1,-0.84,51.9,53.82,48.11,0.51,0.8,199,12,15,9,29.41,11.25,9.23,6,7,28,5,9,104.0,55.76,43.67,48.13,72.93,49.56,1,Wuhan Three Towns 0-1 Chengdu Rongcheng,2026-04-17
Beijing Guoan,1.56,1.3,0.26,1.52,1.12,0.4,0.04,0.19,-0.15,1.56,1.3,0.26,0,0,0,-0.26,66.8,65.4,50.06,1.04,0.65,256,24,10,15,9.62,23.08,7.06,4,0,30,7,13,113.3,78.68,12.8,11.03,61.87,47.01,4,Zhejiang 0-0 Beijing Guoan,2026-04-17
Zhejiang,1.3,1.56,-0.26,1.12,1.52,-0.4,0.19,0.04,0.15,1.3,1.56,-0.26,0,0,0,0.26,33.2,34.6,45.56,0.65,1.04,112,12,15,10,23.08,9.62,18.12,0,4,23,9,12,30.7,21.32,103.27,88.97,69.73,52.99,2,Zhejiang 0-0 Beijing Guoan,2026-04-17
Shenzhen Peng City,0.29,0.97,-0.68,0.29,0.86,-0.57,0.0,0.11,-0.11,0.29,0.97,-0.68,0,2,-2,-1.32,32.7,33.1,44.74,0.18,0.59,120,2,6,12,33.33,20.34,28.26,5,1,9,1,8,33.9,18.15,166.47,93.31,71.97,50.79,2,Chongqing Tonglianglong 2-0 Shenzhen Peng City,2026-04-17
Chongqing Tonglianglong,0.97,0.29,0.68,0.86,0.29,0.57,0.11,0.0,0.11,0.97,0.29,0.68,2,0,2,1.32,67.3,66.9,48.38,0.59,0.18,300,8,12,6,20.34,33.33,16.06,1,5,27,11,6,152.9,81.85,11.93,6.69,69.73,49.21,0,Chongqing Tonglianglong 2-0 Shenzhen Peng City,2026-04-17
Shanghai Port,1.37,2.04,-0.67,1.37,1.91,-0.54,0.0,0.13,-0.13,1.37,2.04,-0.67,1,1,0,0.67,38.5,34.18,43.45,0.47,1.21,127,8,8,18,17.02,14.88,12.66,1,8,17,1,13,51.3,21.92,74.73,79.28,77.7,38.07,2,Shandong Taishan 1-1 Shanghai Port,2026-04-17
Shandong Taishan,2.04,1.37,0.67,1.91,1.37,0.54,0.13,0.0,0.13,2.04,1.37,0.67,1,1,0,-0.67,61.5,65.82,52.33,1.21,0.47,307,23,18,8,14.88,17.02,7.78,8,1,34,4,17,182.7,78.08,19.53,20.72,126.4,61.93,1,Shandong Taishan 1-1 Shanghai Port,2026-04-17
Qingdao West Coast,0.65,1.44,-0.79,0.62,1.42,-0.8,0.03,0.02,0.01,0.65,1.44,-0.79,0,0,0,0.79,58.6,58.22,50.21,0.8,0.71,212,8,8,11,10.0,15.49,7.64,5,3,16,3,10,83.8,68.19,19.47,19.6,54.03,43.66,2,Qingdao Hainiu 0-0 Qingdao West Coast,2026-04-17
