Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Brisbane Roar,2.03,1.26,0.77,0.91,1.24,-0.33,0.37,0.02,0.35,1.27,1.26,0.01,2,1,1,0.23,46.2,52.22,47.15,0.73,0.71,206,13,22,9,30.14,12.68,17.62,6,7,18,8,7,153.0,72.14,64.33,70.28,183.83,85.53,4,Perth Glory 1-2 Brisbane Roar,2026-01-16
Perth Glory,1.26,2.03,-0.77,1.24,0.91,0.33,0.02,0.37,-0.35,1.26,1.27,-0.01,1,2,-1,-0.23,53.8,47.78,46.55,0.71,0.73,208,10,9,22,12.68,30.14,11.13,7,6,22,6,12,59.1,27.86,27.2,29.72,31.1,14.47,0,Perth Glory 1-2 Brisbane Roar,2026-01-16
Auckland,1.38,1.78,-0.4,1.08,1.02,0.06,0.3,0.0,0.3,1.38,1.02,0.36,1,2,-1,-0.6,41.7,37.62,44.97,0.49,0.38,152,7,9,6,18.37,15.79,17.05,5,8,11,5,12,55.4,33.45,101.47,78.66,111.37,58.31,2,Melbourne City 2-1 Auckland,2026-01-16
Melbourne City,1.78,1.38,0.4,1.02,1.08,-0.06,0.0,0.3,-0.3,1.02,1.38,-0.36,2,1,1,0.6,58.3,62.38,47.15,0.38,0.49,232,6,6,9,15.79,18.37,9.09,8,5,16,2,7,110.2,66.55,27.53,21.34,79.63,41.69,4,Melbourne City 2-1 Auckland,2026-01-16
Newcastle Jets,2.38,1.57,0.81,2.38,1.4,0.98,0.0,0.17,-0.17,2.38,1.57,0.81,1,0,1,0.19,38.0,44.02,44.99,0.74,1.01,182,13,7,15,9.46,14.85,23.0,9,6,8,5,8,64.9,33.47,131.13,90.52,142.73,67.66,0,Melbourne City 0-1 Newcastle Jets,2026-01-11
Melbourne City,1.57,2.38,-0.81,1.4,2.38,-0.98,0.17,0.0,0.17,1.57,2.38,-0.81,0,1,-1,-0.19,62.0,55.98,44.97,1.01,0.74,300,18,15,7,14.85,9.46,12.23,6,9,24,7,8,129.0,66.53,13.73,9.48,68.23,32.34,1,Melbourne City 0-1 Newcastle Jets,2026-01-11
Adelaide United,0.57,2.06,-1.49,0.47,1.67,-1.2,0.09,0.39,-0.3,0.57,2.06,-1.49,2,2,0,1.49,38.3,30.16,39.59,0.19,0.88,113,6,8,15,42.11,17.05,13.42,4,12,10,5,7,46.4,19.94,53.2,64.62,65.07,32.22,0,Wellington Phoenix 2-2 Adelaide United,2026-01-11
Wellington Phoenix,2.06,0.57,1.49,1.67,0.47,1.2,0.39,0.09,0.3,2.06,0.57,1.49,2,2,0,-1.49,61.7,69.84,53.11,0.88,0.19,306,16,15,8,17.05,42.11,9.9,12,4,21,5,10,186.3,80.06,29.13,35.38,136.9,67.78,0,Wellington Phoenix 2-2 Adelaide United,2026-01-11
Central Coast Mariners,0.75,4.07,-3.32,0.55,2.29,-1.74,0.2,1.79,-1.59,0.75,4.07,-3.32,0,3,-3,0.32,45.6,52.26,46.86,0.57,0.83,196,9,11,22,19.3,26.51,13.56,8,1,17,5,13,74.0,40.84,82.33,65.48,43.94,22.63,0,Perth Glory 3-0 Central Coast Mariners,2026-01-10
Perth Glory,4.07,0.75,3.32,2.29,0.55,1.74,1.79,0.2,1.59,4.07,0.75,3.32,3,0,3,-0.32,54.4,47.74,43.21,0.83,0.57,197,18,22,11,26.51,19.3,15.38,1,8,13,8,10,107.2,59.16,43.4,34.52,150.2,77.37,0,Perth Glory 3-0 Central Coast Mariners,2026-01-10
