Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Hansa Rostock,2.95,2.4,0.55,2.02,1.5,0.52,0.17,0.14,0.03,2.19,1.64,0.55,3,2,1,0.45,50.6,61.54,53.83,1.24,0.74,224,17,16,14,12.9,18.92,9.97,10,3,27,7,8,116.3,73.56,49.73,63.11,102.9,76.49,8,Hansa Rostock 3-2 Rot-Weiss Essen,2026-02-28
Osnabrück,2.31,1.28,1.03,2.07,0.62,1.45,0.24,0.66,-0.42,2.31,1.28,1.03,3,1,2,0.97,42.8,52.81,47.63,0.91,0.71,163,14,17,14,18.68,19.72,13.42,9,3,21,8,9,66.6,58.83,66.93,88.77,124.53,82.58,0,Erzgebirge Aue 1-3 Osnabrück,2026-02-28
Erzgebirge Aue,1.28,2.31,-1.03,0.62,2.07,-1.45,0.66,0.24,0.42,1.28,2.31,-1.03,1,3,-2,-0.97,57.2,47.19,40.81,0.71,0.91,158,12,14,17,19.72,18.68,11.2,3,9,18,7,10,46.6,41.17,8.47,11.23,26.27,17.42,5,Erzgebirge Aue 1-3 Osnabrück,2026-02-28
Stuttgart II,3.07,2.45,0.62,1.98,2.23,-0.25,1.09,0.22,0.87,3.07,2.45,0.62,0,2,-2,-2.62,63.1,63.73,43.48,0.85,0.75,229,12,12,19,14.12,25.33,8.12,6,10,13,2,10,137.9,59.44,9.0,6.47,69.2,30.72,2,Viktoria Köln 2-0 Stuttgart II,2026-02-28
Viktoria Köln,2.45,3.07,-0.62,2.23,1.98,0.25,0.22,1.09,-0.87,2.45,3.07,-0.62,2,0,2,2.62,36.9,36.27,46.39,0.75,0.85,155,21,19,12,25.33,14.12,12.49,10,6,14,4,12,94.1,40.56,130.0,93.53,156.03,69.28,5,Viktoria Köln 2-0 Stuttgart II,2026-02-28
1860 München,2.14,1.94,0.2,2.03,1.86,0.17,0.11,0.09,0.02,2.14,1.94,0.2,2,1,1,0.8,40.2,41.5,44.32,0.66,0.67,160,10,10,12,15.15,17.91,12.42,5,5,13,2,19,54.2,33.25,99.87,73.47,107.67,61.79,0,Hoffenheim II 1-2 1860 München,2026-02-27
Hoffenheim II,1.94,2.14,-0.2,1.86,2.03,-0.17,0.09,0.11,-0.02,1.94,2.14,-0.2,1,2,-1,-0.8,59.8,58.5,44.66,0.67,0.66,235,15,12,10,17.91,15.15,9.24,5,5,21,6,9,108.8,66.75,36.07,26.53,66.57,38.21,3,Hoffenheim II 1-2 1860 München,2026-02-27
Viktoria Köln,1.08,0.65,0.43,0.94,0.65,0.29,0.14,0.0,0.14,1.08,0.65,0.43,3,1,2,1.57,44.5,46.26,38.86,0.58,0.27,120,11,8,7,13.79,25.93,13.69,8,3,10,3,11,49.2,51.41,123.87,81.82,141.93,81.74,1,Hoffenheim II 1-3 Viktoria Köln,2026-02-22
Hoffenheim II,0.65,1.08,-0.43,0.65,0.94,-0.29,0.0,0.14,-0.14,0.65,1.08,-0.43,1,3,-2,-1.57,55.5,53.74,37.97,0.27,0.58,163,3,7,8,25.93,13.79,12.47,3,8,8,0,15,46.5,48.59,27.53,18.18,31.7,18.26,0,Hoffenheim II 1-3 Viktoria Köln,2026-02-22
Hansa Rostock,0.64,1.83,-1.19,0.59,0.78,-0.19,0.06,0.29,-0.23,0.64,1.07,-0.43,0,1,-1,0.19,62.8,64.37,49.81,0.9,1.03,239,12,11,8,12.22,7.77,8.16,8,5,32,7,9,93.5,69.21,32.87,35.78,91.23,55.26,7,1860 München 1-0 Hansa Rostock,2026-02-22
1860 München,1.83,0.64,1.19,0.78,0.59,0.19,0.29,0.06,0.23,1.07,0.64,0.43,1,0,1,-0.19,37.2,35.63,39.37,1.03,0.9,98,12,8,11,7.77,12.22,13.7,5,8,17,4,16,41.6,30.79,59.0,64.22,73.87,44.74,1,1860 München 1-0 Hansa Rostock,2026-02-22
