Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Fleury 91,0.14,2.87,-2.73,0.14,1.8,-1.66,0.0,0.31,-0.31,0.14,2.11,-1.97,1,2,-1,1.73,43.4,26.06,36.66,0.2,0.74,105,3,3,14,15.0,18.92,18.77,3,13,6,0,14,25.4,11.4,56.33,66.74,39.87,17.11,0,Paris FC 2-1 Fleury 91,2026-03-28
Paris FC,2.87,0.14,2.73,1.8,0.14,1.66,0.31,0.0,0.31,2.11,0.14,1.97,2,1,1,-1.73,56.6,73.94,48.63,0.74,0.2,254,16,14,3,18.92,15.0,8.28,13,3,14,6,12,197.5,88.6,28.07,33.26,193.1,82.89,0,Paris FC 2-1 Fleury 91,2026-03-28
Le Havre,1.11,1.58,-0.47,1.02,1.51,-0.49,0.09,0.07,0.02,1.11,1.58,-0.47,1,2,-1,-0.53,33.9,39.47,50.73,0.61,1.35,160,10,10,10,16.39,7.41,13.17,9,7,22,6,10,35.4,21.65,146.8,99.59,118.2,63.24,2,Dijon 2-1 Le Havre,2026-03-28
Dijon,1.58,1.11,0.47,1.51,1.02,0.49,0.07,0.09,-0.02,1.58,1.11,0.47,2,1,1,0.53,66.1,60.53,46.79,1.35,0.61,275,17,10,10,7.41,16.39,6.74,7,9,28,5,9,128.1,78.35,0.6,0.41,68.7,36.76,0,Dijon 2-1 Le Havre,2026-03-28
Lens,0.85,1.43,-0.58,0.85,0.62,0.23,0.0,0.81,-0.81,0.85,1.43,-0.58,1,2,-1,-0.42,54.9,52.44,44.57,0.89,0.44,159,10,12,14,13.48,31.82,12.27,2,6,12,0,14,51.4,43.05,14.67,21.83,30.67,23.81,0,Saint-Étienne 2-1 Lens,2026-03-28
Saint-Étienne,1.43,0.85,0.58,0.62,0.85,-0.23,0.81,0.0,0.81,1.43,0.85,0.58,2,1,1,0.42,45.1,47.56,41.95,0.44,0.89,121,7,14,12,31.82,13.48,8.76,6,2,14,5,12,68.0,56.95,52.53,78.17,98.13,76.19,1,Saint-Étienne 2-1 Lens,2026-03-28
PSG,2.18,0.78,1.4,1.6,0.51,1.09,0.57,0.26,0.31,2.18,0.78,1.4,3,2,1,-0.4,61.1,67.47,49.32,1.27,0.41,258,14,19,6,14.96,14.63,10.46,5,3,21,7,12,185.0,93.48,20.6,18.83,136.83,81.56,0,Montpellier 2-3 PSG,2026-03-22
Montpellier,0.78,2.18,-1.4,0.51,1.6,-1.09,0.26,0.57,-0.31,0.78,2.18,-1.4,2,3,-1,0.4,38.9,32.53,39.38,0.41,1.27,98,7,6,19,14.63,14.96,11.94,3,5,10,5,9,12.9,6.52,88.8,81.17,30.93,18.44,2,Montpellier 2-3 PSG,2026-03-22
Nantes,2.45,1.48,0.97,1.86,1.32,0.54,0.59,0.16,0.43,2.45,1.48,0.97,3,0,3,2.03,46.3,37.75,35.1,0.8,0.57,97,11,13,18,16.25,31.58,13.71,6,9,7,2,9,80.0,40.06,67.8,57.62,126.07,68.85,3,Strasbourg 0-3 Nantes,2026-03-22
Strasbourg,1.48,2.45,-0.97,1.32,1.86,-0.54,0.16,0.59,-0.43,1.48,2.45,-0.97,0,3,-3,-2.03,53.7,62.25,43.61,0.57,0.8,206,9,18,13,31.58,16.25,11.82,9,6,16,3,8,119.7,59.94,49.87,42.38,57.03,31.15,0,Strasbourg 0-3 Nantes,2026-03-22
