Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Carolina Ascent,1.0,1.03,-0.03,0.71,0.91,-0.2,0.29,0.12,0.17,1.0,1.03,-0.03,1,2,-1,-0.97,40.2,50.75,46.39,0.7,0.66,171,13,13,13,18.57,19.7,11.36,14,5,12,4,12,96.0,49.51,120.6,85.25,139.63,69.77,2,Carolina Ascent 1-2 Lexington,2026-02-07
Spokane Zephyr,1.85,1.86,-0.01,1.77,1.86,-0.09,0.09,0.0,0.09,1.85,1.86,-0.01,2,2,0,0.01,51.4,54.31,47.81,0.52,0.65,167,9,12,13,23.08,20.0,17.47,3,9,16,3,6,80.4,58.18,63.2,79.53,129.1,73.07,2,Tampa Bay Sun 2-2 Spokane Zephyr,2026-01-31
Tampa Bay Sun,1.86,1.85,0.01,1.86,1.77,0.09,0.0,0.09,-0.09,1.86,1.85,0.01,2,2,0,-0.01,48.6,45.69,41.59,0.65,0.52,137,6,13,12,20.0,23.08,9.33,9,3,17,7,7,57.8,41.82,16.27,20.47,47.57,26.93,1,Tampa Bay Sun 2-2 Spokane Zephyr,2026-01-31
Lexington,1.61,0.92,0.69,1.1,0.72,0.38,0.51,0.2,0.31,1.61,0.92,0.69,3,1,2,1.31,53.4,56.72,45.92,0.66,0.14,179,12,15,10,22.73,71.43,7.38,12,6,17,5,14,124.1,59.35,30.93,41.65,139.47,76.49,2,Fort Lauderdale United 1-3 Lexington,2026-01-31
Fort Lauderdale United,0.92,1.61,-0.69,0.72,1.1,-0.38,0.2,0.51,-0.31,0.92,1.61,-0.69,1,3,-2,-1.31,46.6,43.28,44.95,0.14,0.66,139,9,10,15,71.43,22.73,9.28,6,12,16,4,9,85.0,40.65,43.33,58.35,42.87,23.51,0,Fort Lauderdale United 1-3 Lexington,2026-01-31
Carolina Ascent,1.24,1.63,-0.39,0.8,1.58,-0.78,0.43,0.04,0.39,1.24,1.63,-0.39,0,1,-1,-0.61,45.6,61.51,45.85,1.17,0.41,187,18,13,12,11.11,29.27,10.07,6,8,19,5,16,117.5,63.21,125.87,86.37,200.9,81.43,4,Sporting JAX 1-0 Carolina Ascent,2026-01-31
Sporting JAX,1.63,1.24,0.39,1.58,0.8,0.78,0.04,0.43,-0.39,1.63,1.24,0.39,1,0,1,0.61,54.4,38.49,37.37,0.41,1.17,143,6,12,13,29.27,11.11,8.95,8,6,16,4,11,68.4,36.79,19.87,13.63,45.8,18.57,0,Sporting JAX 1-0 Carolina Ascent,2026-01-31
Brooklyn,3.11,0.28,2.83,2.52,0.28,2.24,0.59,0.0,0.59,3.11,0.28,2.83,1,1,0,-2.83,39.4,50.17,48.88,0.51,0.22,184,11,14,5,27.45,22.73,12.63,12,3,20,5,10,79.4,58.9,137.8,96.5,187.57,81.97,1,Dallas Trinity 1-1 Brooklyn,2026-01-31
Dallas Trinity,0.28,3.11,-2.83,0.28,2.52,-2.24,0.0,0.59,-0.59,0.28,3.11,-2.83,1,1,0,2.83,60.6,49.83,37.98,0.22,0.51,157,5,5,14,22.73,27.45,8.88,3,12,8,0,9,55.4,41.1,5.0,3.5,41.27,18.03,1,Dallas Trinity 1-1 Brooklyn,2026-01-31
Spokane Zephyr,1.47,1.24,0.23,1.05,1.04,0.01,0.42,0.2,0.22,1.47,1.24,0.23,3,1,2,1.77,47.6,50.91,52.9,0.44,0.54,181,16,15,18,34.09,33.33,11.74,6,0,12,6,11,100.4,46.44,54.73,75.46,132.07,76.16,2,Fort Lauderdale United 1-3 Spokane Zephyr,2025-12-20
