Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Union Omaha,2.05,1.42,0.63,1.22,1.23,-0.01,0.84,0.19,0.65,2.05,1.42,0.63,1,2,-1,-1.63,65.6,53.63,44.89,1.03,0.38,246,17,17,9,16.5,23.68,5.95,2,3,22,5,14,145.1,69.39,1.4,0.94,77.8,33.56,0,Richmond Kickers 2-1 Union Omaha,2026-04-18
Richmond Kickers,1.42,2.05,-0.63,1.23,1.22,0.01,0.19,0.84,-0.65,1.42,2.05,-0.63,2,1,1,1.63,34.4,46.37,50.2,0.38,1.03,163,7,9,17,23.68,16.5,13.77,3,2,20,5,21,64.0,30.61,147.73,99.06,154.03,66.44,0,Richmond Kickers 2-1 Union Omaha,2026-04-18
Athletic Club Boise,1.0,1.28,-0.28,0.83,1.28,-0.45,0.17,0.0,0.17,1.0,1.28,-0.28,2,2,0,0.28,42.9,46.31,46.64,0.76,0.8,203,15,11,13,14.47,16.25,18.96,3,6,26,8,18,68.3,41.05,95.53,74.09,121.03,61.52,3,Alta 2-2 Athletic Club Boise,2026-04-11
Alta,1.28,1.0,0.28,1.28,0.83,0.45,0.0,0.17,-0.17,1.28,1.0,0.28,2,2,0,-0.28,57.1,53.69,44.59,0.8,0.76,252,10,13,11,16.25,14.47,10.97,6,3,7,3,10,98.1,58.95,33.4,25.91,75.7,38.48,0,Alta 2-2 Athletic Club Boise,2026-04-11
Richmond Kickers,0.54,1.34,-0.8,0.54,1.29,-0.75,0.0,0.05,-0.05,0.54,1.34,-0.8,1,3,-2,-1.2,42.2,44.73,44.22,0.44,0.62,158,7,7,10,15.91,16.13,15.9,3,1,11,2,15,37.9,34.61,75.6,69.83,34.47,22.41,5,Spokane Velocity 3-1 Richmond Kickers,2026-04-11
Spokane Velocity,1.34,0.54,0.8,1.29,0.54,0.75,0.05,0.0,0.05,1.34,0.54,0.8,3,1,2,1.2,57.8,55.27,45.45,0.62,0.44,220,18,10,7,16.13,15.91,12.63,1,3,25,5,10,71.6,65.39,32.67,30.17,119.37,77.59,3,Spokane Velocity 3-1 Richmond Kickers,2026-04-11
Fort Wayne,0.62,0.54,0.08,0.62,0.51,0.11,0.0,0.04,-0.04,0.62,0.54,0.08,1,0,1,0.92,47.2,30.8,40.61,0.23,0.95,96,5,7,13,30.43,13.68,11.12,3,5,10,2,17,28.1,19.62,26.6,34.6,32.4,24.09,0,Chattanooga Red Wolves 0-1 Fort Wayne,2026-04-11
Chattanooga Red Wolves,0.54,0.62,-0.08,0.51,0.62,-0.11,0.04,0.0,0.04,0.54,0.62,-0.08,0,1,-1,-0.92,52.8,69.2,49.56,0.95,0.23,189,17,13,7,13.68,30.43,5.96,5,3,31,5,19,115.1,80.38,50.27,65.4,102.07,75.91,5,Chattanooga Red Wolves 0-1 Fort Wayne,2026-04-11
Sarasota Paradise,0.8,1.88,-1.08,0.8,1.8,-1.0,0.0,0.09,-0.09,0.8,1.88,-1.08,0,2,-2,-0.92,49.5,42.67,40.16,0.32,1.03,143,5,7,12,21.88,11.65,10.6,4,5,10,4,11,49.6,27.6,35.07,38.29,34.13,18.81,1,Naples 2-0 Sarasota Paradise,2026-04-11
Naples,1.88,0.8,1.08,1.8,0.8,1.0,0.09,0.0,0.09,1.88,0.8,1.08,2,0,2,0.92,50.5,57.33,48.98,1.03,0.32,212,10,12,7,11.65,21.88,9.5,5,4,29,4,15,130.1,72.4,56.53,61.71,147.3,81.19,0,Naples 2-0 Sarasota Paradise,2026-04-11
