Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Al Riyadh,1.78,1.53,0.25,1.78,1.46,0.32,0.0,0.07,-0.07,1.78,1.53,0.25,0,1,-1,-1.25,46.8,33.21,39.73,0.39,1.11,115,4,13,16,33.33,14.41,11.16,3,6,8,0,12,31.6,19.52,54.53,50.37,38.93,22.8,2,Al Riyadh 0-1 Al Ahli,2026-02-26
NEOM,1.9,0.65,1.25,1.9,0.63,1.27,0.0,0.02,-0.02,1.9,0.65,1.25,1,1,0,-1.25,56.5,53.01,46.61,0.74,0.28,224,14,14,9,18.92,32.14,12.6,1,8,13,3,13,123.4,66.27,42.73,37.57,108.6,63.74,5,Al Fayha 1-1 NEOM,2026-02-25
Al Fayha,0.65,1.9,-1.25,0.63,1.9,-1.27,0.02,0.0,0.02,0.65,1.9,-1.25,1,1,0,1.25,43.5,46.99,44.48,0.28,0.74,149,12,9,14,32.14,18.92,12.88,8,1,19,7,8,62.8,33.73,71.0,62.43,61.77,36.26,3,Al Fayha 1-1 NEOM,2026-02-25
Al Nassr,2.61,0.26,2.35,1.7,0.11,1.59,0.15,0.15,0.0,1.85,0.26,1.59,5,0,5,2.65,57.0,65.91,51.18,1.18,0.22,281,17,16,3,13.56,13.64,10.48,6,6,16,9,15,174.6,88.41,54.2,55.12,248.93,98.74,2,Al Najma 0-5 Al Nassr,2026-02-25
Al Najma,0.26,2.61,-2.35,0.11,1.7,-1.59,0.15,0.15,0.0,0.26,1.85,-1.59,0,5,-5,-2.65,43.0,34.09,40.93,0.22,1.18,137,6,3,16,13.64,13.56,23.62,6,6,6,2,8,22.9,11.59,44.13,44.88,3.17,1.26,2,Al Najma 0-5 Al Nassr,2026-02-25
Al Kholood,2.01,1.84,0.17,1.91,0.71,1.2,0.11,1.12,-1.01,2.01,1.84,0.17,3,2,1,0.83,42.3,38.55,49.36,0.59,0.8,195,10,13,16,22.03,20.0,22.94,3,5,18,4,10,55.1,27.9,53.87,52.13,50.13,25.89,0,Al Khaleej 2-3 Al Kholood,2026-02-24
Al Khaleej,1.84,2.01,-0.17,0.71,1.91,-1.2,1.12,0.11,1.01,1.84,2.01,-0.17,2,3,-1,-0.83,57.7,61.45,51.37,0.8,0.59,262,20,16,13,20.0,22.03,9.67,5,3,27,9,8,142.4,72.1,49.47,47.87,143.53,74.11,1,Al Khaleej 2-3 Al Kholood,2026-02-24
Al Ittihad,0.73,1.21,-0.48,0.69,1.15,-0.46,0.04,0.06,-0.02,0.73,1.21,-0.48,1,1,0,0.48,62.7,61.41,47.38,0.57,0.66,269,4,10,13,17.54,19.7,8.9,5,11,12,2,16,126.4,63.04,9.0,5.93,59.63,29.93,0,Al Hazem 1-1 Al Ittihad,2026-02-24
Al Hazem,1.21,0.73,0.48,1.15,0.69,0.46,0.06,0.04,0.02,1.21,0.73,0.48,1,1,0,-0.48,37.3,38.59,45.45,0.66,0.57,126,12,13,10,19.7,17.54,11.0,11,5,14,3,11,74.1,36.96,142.8,94.07,139.63,70.07,0,Al Hazem 1-1 Al Ittihad,2026-02-24
Al Hilal,1.9,1.26,0.64,0.72,0.5,0.22,0.42,0.0,0.42,1.14,0.5,0.64,1,1,0,-0.64,63.1,72.87,55.83,0.78,0.17,392,17,20,6,25.64,35.29,7.79,6,4,25,8,12,272.6,86.79,24.47,20.84,206.47,85.39,3,Al Taawoun 1-1 Al Hilal,2026-02-24
