Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Čukarički,0.56,1.14,-0.58,0.45,1.1,-0.65,0.11,0.05,0.06,0.56,1.14,-0.58,0,0,0,0.58,50.3,43.31,43.78,0.43,0.49,159,9,11,13,25.58,26.53,9.11,5,6,15,3,17,68.1,38.72,44.13,52.66,63.33,39.12,2,Čukarički 0-0 Radnički Kragujevac,2026-04-09
Partizan,1.32,2.55,-1.23,1.17,2.04,-0.87,0.15,0.51,-0.36,1.32,2.55,-1.23,3,2,1,2.23,50.4,43.37,41.56,0.69,0.38,175,11,9,18,13.04,47.37,12.03,4,4,9,2,13,44.0,27.35,38.6,41.09,50.7,32.98,1,Novi Pazar 2-3 Partizan,2026-04-09
Novi Pazar,2.55,1.32,1.23,2.04,1.17,0.87,0.51,0.15,0.36,2.55,1.32,1.23,2,3,-1,-2.23,49.6,56.63,45.45,0.38,0.69,178,14,18,9,47.37,13.04,16.7,4,4,20,6,8,116.9,72.65,55.33,58.91,103.03,67.02,1,Novi Pazar 2-3 Partizan,2026-04-09
Napredak,0.15,4.05,-3.9,0.15,3.22,-3.07,0.0,0.07,-0.07,0.15,3.29,-3.14,0,2,-2,1.9,48.9,44.67,45.43,0.34,1.17,188,2,5,17,14.71,14.53,16.41,3,7,16,7,10,49.0,24.5,34.13,54.41,24.33,9.98,0,Mladost Lučani 2-0 Napredak,2026-04-08
Mladost Lučani,4.05,0.15,3.9,3.22,0.15,3.07,0.07,0.0,0.07,3.29,0.15,3.14,2,0,2,-1.9,51.1,55.33,46.54,1.17,0.34,196,18,17,5,14.53,14.71,11.12,7,3,19,5,15,151.0,75.5,28.6,45.59,219.53,90.02,0,Mladost Lučani 2-0 Napredak,2026-04-08
Radnički Niš,0.77,1.49,-0.72,0.55,1.32,-0.77,0.22,0.17,0.05,0.77,1.49,-0.72,2,3,-1,-0.28,46.2,42.98,39.6,0.37,0.68,114,8,7,11,18.92,16.18,14.88,2,7,15,5,18,43.3,29.92,52.33,55.71,41.03,23.91,0,Vojvodina 3-2 Radnički Niš,2026-04-08
Vojvodina,1.49,0.77,0.72,1.32,0.55,0.77,0.17,0.22,-0.05,1.49,0.77,0.72,3,2,1,0.28,53.8,57.02,46.99,0.68,0.37,210,13,11,7,16.18,18.92,8.5,7,2,9,2,11,101.4,70.08,41.6,44.29,130.57,76.09,0,Vojvodina 3-2 Radnički Niš,2026-04-08
IMT Novi Beograd,1.72,0.86,0.86,0.96,0.86,0.1,0.0,0.0,0.0,0.96,0.86,0.1,3,1,2,1.14,45.8,66.09,51.56,0.81,0.76,218,11,9,4,11.11,5.26,12.12,5,3,19,5,17,140.9,81.54,86.27,82.11,211.0,98.03,0,TSC 1-3 IMT Novi Beograd,2026-04-08
TSC,0.86,1.72,-0.86,0.86,0.96,-0.1,0.0,0.0,0.0,0.86,0.96,-0.1,1,3,-2,-1.14,54.2,33.91,40.66,0.76,0.81,145,3,4,9,5.26,11.11,10.74,3,5,13,2,11,31.9,18.46,18.8,17.89,4.23,1.97,0,TSC 1-3 IMT Novi Beograd,2026-04-08
Železničar Pančevo,0.95,1.34,-0.39,0.92,1.25,-0.33,0.03,0.09,-0.06,0.95,1.34,-0.39,2,1,1,1.39,55.3,53.68,45.41,0.43,0.41,183,10,16,11,37.21,26.83,10.86,5,7,16,4,18,64.6,60.83,39.13,43.94,57.97,46.67,1,Javor 1-2 Železničar Pančevo,2026-04-08
Javor,1.34,0.95,0.39,1.25,0.92,0.33,0.09,0.03,0.06,1.34,0.95,0.39,1,2,-1,-1.39,44.7,46.32,39.38,0.41,0.43,113,9,11,16,26.83,37.21,13.96,7,5,20,4,12,41.6,39.17,49.93,56.06,66.23,53.33,2,Javor 1-2 Železničar Pančevo,2026-04-08
Čukarički,0.21,1.02,-0.81,0.21,0.9,-0.69,0.0,0.12,-0.12,0.21,1.02,-0.81,0,0,0,0.81,28.3,28.36,48.37,0.11,1.18,103,0,3,17,27.27,14.41,16.04,2,2,4,0,17,6.1,2.37,109.87,98.45,28.93,14.81,1,Partizan 0-0 Čukarički,2026-04-05
Partizan,1.02,0.21,0.81,0.9,0.21,0.69,0.12,0.0,0.12,1.02,0.21,0.81,0,0,0,-0.81,71.7,71.64,53.35,1.18,0.11,322,25,17,3,14.41,27.27,5.26,2,2,43,12,15,251.7,97.63,1.73,1.55,166.4,85.19,0,Partizan 0-0 Čukarički,2026-04-05
Crvena zvezda,2.19,0.31,1.88,1.81,0.21,1.6,0.39,0.1,0.29,2.19,0.31,1.88,2,1,1,-0.88,62.0,64.26,44.6,1.59,0.04,207,27,21,9,13.21,225.0,5.65,7,1,18,7,16,194.0,89.81,17.07,16.33,157.73,86.07,5,Radnik Surdulica 1-2 Crvena zvezda,2026-04-05
Radnik Surdulica,0.31,2.19,-1.88,0.21,1.81,-1.6,0.1,0.39,-0.29,0.31,2.19,-1.88,1,2,-1,0.88,38.0,35.74,42.12,0.04,1.59,102,5,9,21,225.0,13.21,13.43,1,7,13,5,14,22.0,10.19,87.47,83.67,25.53,13.93,0,Radnik Surdulica 1-2 Crvena zvezda,2026-04-05
Vojvodina,0.73,0.76,-0.03,0.64,0.76,-0.12,0.09,0.0,0.09,0.73,0.76,-0.03,0,0,0,0.03,56.3,48.15,42.8,0.35,0.38,152,7,4,8,11.43,21.05,7.65,2,4,18,4,19,37.2,42.47,11.33,14.06,29.33,22.6,0,IMT Novi Beograd 0-0 Vojvodina,2026-04-04
IMT Novi Beograd,0.76,0.73,0.03,0.76,0.64,0.12,0.0,0.09,-0.09,0.76,0.73,0.03,0,0,0,-0.03,43.7,51.85,47.01,0.38,0.35,154,5,8,4,21.05,11.43,7.0,4,2,12,2,21,50.4,57.53,69.27,85.94,100.47,77.4,5,IMT Novi Beograd 0-0 Vojvodina,2026-04-04
Mladost Lučani,1.01,1.31,-0.3,0.78,1.14,-0.36,0.23,0.16,0.07,1.01,1.31,-0.3,1,1,0,0.3,36.6,40.19,50.48,0.48,0.93,155,5,13,14,27.08,15.05,14.15,6,2,17,4,13,60.0,30.77,91.67,89.93,71.17,51.97,1,Radnički Kragujevac 1-1 Mladost Lučani,2026-04-04
Radnički Kragujevac,1.31,1.01,0.3,1.14,0.78,0.36,0.16,0.23,-0.07,1.31,1.01,0.3,1,1,0,-0.3,63.4,59.81,49.8,0.93,0.48,253,17,14,13,15.05,27.08,6.87,2,6,29,7,7,135.0,69.23,10.27,10.07,65.77,48.03,0,Radnički Kragujevac 1-1 Mladost Lučani,2026-04-04
Javor,3.15,1.19,1.96,1.29,1.16,0.13,1.1,0.03,1.07,2.39,1.19,1.2,2,1,1,-0.96,46.6,49.16,45.52,0.79,0.75,160,11,18,7,22.78,9.33,10.09,4,7,22,5,10,109.5,60.7,40.47,53.67,110.53,62.4,2,Spartak Subotica 1-2 Javor,2026-04-04
Spartak Subotica,1.19,3.15,-1.96,1.16,1.29,-0.13,0.03,1.1,-1.07,1.19,2.39,-1.2,1,2,-1,0.96,53.4,50.84,49.35,0.75,0.79,216,13,7,18,9.33,22.78,9.25,7,4,15,4,15,70.9,39.3,34.93,46.33,66.6,37.6,1,Spartak Subotica 1-2 Javor,2026-04-04
Novi Pazar,0.49,1.66,-1.17,0.49,1.57,-1.08,0.0,0.09,-0.09,0.49,1.66,-1.17,0,2,-2,-0.83,44.8,56.41,49.12,0.62,0.86,213,13,12,14,19.35,16.28,13.47,6,2,22,3,11,107.6,60.96,70.4,70.21,96.07,64.42,1,Železničar Pančevo 2-0 Novi Pazar,2026-04-04
Železničar Pančevo,1.66,0.49,1.17,1.57,0.49,1.08,0.09,0.0,0.09,1.66,0.49,1.17,2,0,2,0.83,55.2,43.59,45.25,0.86,0.62,183,15,14,12,16.28,19.35,12.19,2,6,19,3,12,68.9,39.04,29.87,29.79,53.07,35.58,0,Železničar Pančevo 2-0 Novi Pazar,2026-04-04
TSC,2.29,1.27,1.02,1.95,1.0,0.95,0.35,0.27,0.08,2.29,1.27,1.02,2,1,1,-0.02,43.8,37.73,43.78,0.9,0.88,131,8,14,12,15.56,13.64,8.19,3,5,17,4,19,54.8,28.03,26.67,40.57,61.73,47.03,0,Napredak 1-2 TSC,2026-04-03
Napredak,1.27,2.29,-1.02,1.0,1.95,-0.95,0.27,0.35,-0.08,1.27,2.29,-1.02,1,2,-1,0.02,56.2,62.27,51.47,0.88,0.9,231,15,12,14,13.64,15.56,7.1,5,3,35,7,13,140.7,71.97,39.07,59.43,69.53,52.97,1,Napredak 1-2 TSC,2026-04-03
OFK Beograd,1.2,1.48,-0.28,1.18,1.37,-0.19,0.02,0.11,-0.09,1.2,1.48,-0.28,2,1,1,1.28,45.0,37.92,42.57,0.52,0.91,131,2,10,16,19.23,17.58,12.3,4,4,9,4,16,44.6,28.89,62.13,71.41,57.67,51.37,0,Radnički Niš 1-2 OFK Beograd,2026-04-03
Radnički Niš,1.48,1.2,0.28,1.37,1.18,0.19,0.11,0.02,0.09,1.48,1.2,0.28,1,2,-1,-1.28,55.0,62.08,46.72,0.91,0.52,204,20,16,10,17.58,19.23,6.53,4,4,23,3,16,109.8,71.11,24.87,28.59,54.6,48.63,1,Radnički Niš 1-2 OFK Beograd,2026-04-03
Železničar Pančevo,1.01,2.68,-1.67,1.01,2.68,-1.67,0.0,0.0,0.0,1.01,2.68,-1.67,2,3,-1,0.67,67.6,63.09,46.9,0.76,0.57,255,9,9,9,11.84,15.79,7.72,3,6,33,6,11,162.4,74.32,14.13,8.63,74.53,39.13,0,Čukarički 3-2 Železničar Pančevo,2026-03-22
Čukarički,2.68,1.01,1.67,2.68,1.01,1.67,0.0,0.0,0.0,2.68,1.01,1.67,3,2,1,-0.67,32.4,36.91,47.88,0.57,0.76,119,10,9,9,15.79,11.84,15.11,6,3,12,0,13,56.1,25.68,149.67,91.37,115.93,60.87,5,Čukarički 3-2 Železničar Pančevo,2026-03-22
Radnički Kragujevac,1.41,1.65,-0.24,1.1,1.5,-0.4,0.31,0.15,0.16,1.41,1.65,-0.24,0,0,0,0.24,46.8,47.41,45.61,0.87,1.0,142,14,14,18,16.09,18.0,7.72,10,6,23,10,12,74.3,40.76,49.8,62.2,83.6,46.09,0,TSC 0-0 Radnički Kragujevac,2026-03-22
TSC,1.65,1.41,0.24,1.5,1.1,0.4,0.15,0.31,-0.16,1.65,1.41,0.24,0,0,0,-0.24,53.2,52.59,45.52,1.0,0.87,155,17,18,14,18.0,16.09,6.92,6,10,19,4,16,108.0,59.24,30.27,37.8,97.77,53.91,1,TSC 0-0 Radnički Kragujevac,2026-03-22
IMT Novi Beograd,2.26,1.72,0.54,2.16,1.72,0.44,0.1,0.0,0.1,2.26,1.72,0.54,3,3,0,-0.54,49.8,48.81,45.94,1.54,0.35,163,18,13,6,8.44,17.14,9.11,4,8,31,9,13,87.0,63.97,38.93,50.39,88.2,55.19,2,OFK Beograd 3-3 IMT Novi Beograd,2026-03-22
OFK Beograd,1.72,2.26,-0.54,1.72,2.16,-0.44,0.0,0.1,-0.1,1.72,2.26,-0.54,3,3,0,0.54,50.2,51.19,45.26,0.35,1.54,161,7,6,13,17.14,8.44,8.15,8,4,13,3,14,49.0,36.03,38.33,49.61,71.6,44.81,0,OFK Beograd 3-3 IMT Novi Beograd,2026-03-22
Partizan,1.78,0.74,1.04,1.72,0.38,1.34,0.06,0.37,-0.31,1.78,0.74,1.04,1,1,0,-1.04,76.9,78.91,57.57,1.64,0.2,524,24,20,6,12.2,30.0,9.7,3,0,31,5,11,385.8,94.7,0.53,0.38,293.47,78.33,0,Mladost Lučani 1-1 Partizan,2026-03-21
Mladost Lučani,0.74,1.78,-1.04,0.38,1.72,-1.34,0.37,0.06,0.31,0.74,1.78,-1.04,1,1,0,1.04,23.1,21.09,40.81,0.2,1.64,88,4,6,20,30.0,12.2,31.19,0,3,16,7,5,21.6,5.3,138.93,99.62,81.17,21.67,0,Mladost Lučani 1-1 Partizan,2026-03-21
Napredak,0.58,4.16,-3.58,0.42,3.96,-3.54,0.16,0.2,-0.04,0.58,4.16,-3.58,1,4,-3,0.58,39.6,39.81,45.47,0.33,2.05,143,7,5,18,15.15,8.78,19.55,0,10,8,1,3,36.8,22.59,52.53,78.96,21.66,10.83,0,Vojvodina 4-1 Napredak,2026-03-21
Vojvodina,4.16,0.58,3.58,3.96,0.42,3.54,0.2,0.16,0.04,4.16,0.58,3.58,4,1,3,-0.58,60.4,60.19,51.52,2.05,0.33,281,22,18,5,8.78,15.15,9.13,10,0,22,8,13,126.1,77.41,14.0,21.04,178.3,89.17,0,Vojvodina 4-1 Napredak,2026-03-21
Radnički Niš,0.24,3.94,-3.7,0.12,3.6,-3.48,0.12,0.34,-0.22,0.24,3.94,-3.7,0,2,-2,1.7,21.7,16.01,34.69,0.13,1.27,48,2,8,27,61.54,21.26,20.88,1,12,7,4,5,5.6,1.75,180.93,99.93,8.77,3.88,0,Crvena zvezda 2-0 Radnički Niš,2026-03-21
Crvena zvezda,3.94,0.24,3.7,3.6,0.12,3.48,0.34,0.12,0.22,3.94,0.24,3.7,2,0,2,-1.7,78.3,83.99,53.56,1.27,0.13,455,30,27,8,21.26,61.54,6.29,12,1,37,11,7,314.4,98.25,0.13,0.07,217.37,96.12,4,Crvena zvezda 2-0 Radnički Niš,2026-03-21
Novi Pazar,1.48,1.28,0.2,1.35,0.52,0.83,0.13,0.0,0.13,1.48,0.52,0.96,0,0,0,-0.2,53.5,51.89,48.56,0.89,0.38,213,9,19,8,21.35,21.05,7.78,9,2,18,4,13,106.0,70.81,33.47,33.97,83.23,61.31,2,Javor 0-0 Novi Pazar,2026-03-21
Javor,1.28,1.48,-0.2,0.52,1.35,-0.83,0.0,0.13,-0.13,0.52,1.48,-0.96,0,0,0,0.2,46.5,48.11,45.68,0.38,0.89,160,11,8,19,21.05,21.35,12.5,2,9,19,2,12,43.7,29.19,65.07,66.03,52.53,38.69,4,Javor 0-0 Novi Pazar,2026-03-21
Radnik Surdulica,2.08,1.11,0.97,1.16,0.95,0.21,0.15,0.16,-0.01,1.32,1.11,0.21,3,1,2,1.03,35.2,46.89,49.62,0.32,0.38,147,7,16,9,50.0,23.68,10.02,7,4,15,5,15,103.1,53.73,127.67,97.26,192.8,92.81,0,Spartak Subotica 1-3 Radnik Surdulica,2026-03-20
Spartak Subotica,1.11,2.08,-0.97,0.95,1.16,-0.21,0.16,0.15,0.01,1.11,1.32,-0.21,1,3,-2,-1.03,64.8,53.11,43.81,0.38,0.32,226,7,9,16,23.68,50.0,7.33,4,7,14,3,13,88.8,46.27,3.6,2.74,14.93,7.19,1,Spartak Subotica 1-3 Radnik Surdulica,2026-03-20
Vojvodina,1.1,0.95,0.15,0.86,0.91,-0.05,0.24,0.03,0.21,1.1,0.95,0.15,1,0,1,0.85,50.9,55.99,48.06,0.51,0.55,194,10,10,6,19.61,10.91,7.71,10,6,21,8,19,84.3,69.04,36.13,60.69,100.6,70.86,0,Radnički Kragujevac 0-1 Vojvodina,2026-03-15
Radnički Kragujevac,0.95,1.1,-0.15,0.91,0.86,0.05,0.03,0.24,-0.21,0.95,1.1,-0.15,0,1,-1,-0.85,49.1,44.01,44.81,0.55,0.51,165,7,6,10,10.91,19.61,8.68,6,10,19,4,8,37.8,30.96,23.4,39.31,41.37,29.14,0,Radnički Kragujevac 0-1 Vojvodina,2026-03-15
Crvena zvezda,3.04,1.4,1.64,2.82,0.63,2.19,0.22,0.01,0.21,3.04,0.64,2.4,2,1,1,-0.64,69.8,68.14,48.61,0.98,0.37,310,21,15,8,15.31,21.62,7.64,6,5,21,6,4,176.0,84.82,0.93,0.59,82.8,50.4,4,IMT Novi Beograd 1-2 Crvena zvezda,2026-03-15
IMT Novi Beograd,1.4,3.04,-1.64,0.63,2.82,-2.19,0.01,0.22,-0.21,0.64,3.04,-2.4,1,2,-1,0.64,30.2,31.86,46.75,0.37,0.98,111,8,8,15,21.62,15.31,17.27,5,6,15,4,18,31.5,15.18,156.13,99.41,81.5,49.6,3,IMT Novi Beograd 1-2 Crvena zvezda,2026-03-15
Mladost Lučani,0.56,4.04,-3.48,0.17,2.71,-2.54,0.39,0.57,-0.18,0.56,3.28,-2.72,0,5,-5,-1.52,26.5,20.62,40.5,0.53,0.96,81,5,3,16,5.66,16.67,24.88,0,7,3,2,10,14.7,7.85,178.6,98.82,57.07,25.31,0,Železničar Pančevo 5-0 Mladost Lučani,2026-03-15
