Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Shanghai Second,1.32,2.14,-0.82,1.32,1.99,-0.67,0.0,0.15,-0.15,1.32,2.14,-0.82,0,2,-2,-1.18,33.8,38.24,45.47,0.39,0.43,115,3,10,17,25.64,39.53,11.76,6,3,13,1,18,30.3,14.82,105.6,85.9,57.9,32.61,0,Shanghai Second 0-2 Shanxi Chongde Ronghai,2026-04-15
Tai'an Tiankuang,0.56,0.89,-0.33,0.43,0.13,0.3,0.13,0.0,0.13,0.56,0.13,0.43,0,1,-1,-0.67,58.2,61.82,51.77,0.56,0.19,197,18,10,7,17.86,36.84,6.09,6,6,30,6,14,120.4,80.54,25.67,49.42,109.0,75.28,7,Changchun Xidu 1-0 Tai'an Tiankuang,2026-04-15
Changchun Xidu,0.89,0.56,0.33,0.13,0.43,-0.3,0.0,0.13,-0.13,0.13,0.56,-0.43,1,0,1,0.67,41.8,38.18,44.73,0.19,0.56,112,7,7,10,36.84,17.86,7.16,6,6,15,2,20,29.1,19.46,26.27,50.58,35.8,24.72,4,Changchun Xidu 1-0 Tai'an Tiankuang,2026-04-15
Guangzhou Dandelion,0.79,0.95,-0.16,0.59,0.55,0.04,0.2,0.4,-0.2,0.79,0.95,-0.16,2,1,1,1.16,43.3,43.35,48.03,0.98,0.34,177,10,12,14,12.24,41.18,12.72,6,3,21,6,9,60.2,36.42,70.47,70.14,81.63,62.6,1,Guangdong Mingtu 1-2 Guangzhou Dandelion,2026-04-14
Guangdong Mingtu,0.95,0.79,0.16,0.55,0.59,-0.04,0.4,0.2,0.2,0.95,0.79,0.16,1,2,-1,-1.16,56.7,56.65,45.43,0.34,0.98,209,6,14,12,41.18,12.24,15.6,3,6,20,4,8,105.1,63.58,30.0,29.86,48.77,37.4,0,Guangdong Mingtu 1-2 Guangzhou Dandelion,2026-04-14
Ganzhou Ruishi,0.7,0.18,0.52,0.64,0.12,0.52,0.06,0.05,0.01,0.7,0.18,0.52,1,2,-1,-1.52,47.6,58.67,47.08,0.94,0.19,194,12,15,6,15.96,31.58,9.61,6,6,27,2,15,118.3,78.03,68.53,81.14,154.07,85.34,3,Hubei Istar 2-1 Ganzhou Ruishi,2026-04-14
Hubei Istar,0.18,0.7,-0.52,0.12,0.64,-0.52,0.05,0.06,-0.01,0.18,0.7,-0.52,2,1,1,1.52,52.4,41.33,42.35,0.19,0.94,157,3,6,15,31.58,15.96,10.03,6,6,13,1,15,33.3,21.97,15.93,18.86,26.47,14.66,0,Hubei Istar 2-1 Ganzhou Ruishi,2026-04-14
Guizhou Guiyang,1.29,1.14,0.15,1.01,0.38,0.63,0.28,0.0,0.28,1.29,0.38,0.91,0,2,-2,-2.15,54.1,47.55,49.6,0.74,0.45,192,13,21,8,28.38,17.78,5.64,5,4,29,9,21,110.4,70.41,22.8,38.04,91.67,60.68,0,Jiangxi Lushan 2-0 Guizhou Guiyang,2026-04-14
Jiangxi Lushan,1.14,1.29,-0.15,0.38,1.01,-0.63,0.0,0.28,-0.28,0.38,1.29,-0.91,2,0,2,2.15,45.9,52.45,48.04,0.45,0.74,144,6,8,21,17.78,28.38,7.72,4,5,22,4,19,46.4,29.59,37.13,61.96,59.4,39.32,1,Jiangxi Lushan 2-0 Guizhou Guiyang,2026-04-14
Haimen Codion,1.24,0.4,0.84,1.24,0.34,0.9,0.0,0.06,-0.06,1.24,0.4,0.84,0,1,-1,-1.84,65.1,61.17,47.19,0.69,0.12,269,12,9,10,13.04,83.33,7.24,14,5,20,2,10,92.4,69.16,0.0,0.0,44.2,28.69,0,Dalian Kewei 1-0 Haimen Codion,2026-04-14
Dalian Kewei,0.4,1.24,-0.84,0.34,1.24,-0.9,0.06,0.0,0.06,0.4,1.24,-0.84,1,0,1,1.84,34.9,38.83,43.07,0.12,0.69,131,3,10,9,83.33,13.04,16.47,5,14,14,3,12,41.2,30.84,105.47,100.0,109.87,71.31,2,Dalian Kewei 1-0 Haimen Codion,2026-04-14
Shanghai Port II,1.0,0.65,0.35,0.75,0.57,0.18,0.25,0.08,0.17,1.0,0.65,0.35,2,0,2,1.65,61.0,60.84,49.19,0.59,0.62,245,10,19,12,32.2,19.35,5.53,5,1,26,7,15,139.7,74.63,15.73,15.34,90.2,62.96,2,Beijing BIT 0-2 Shanghai Port II,2026-04-14
Beijing BIT,0.65,1.0,-0.35,0.57,0.75,-0.18,0.08,0.25,-0.17,0.65,1.0,-0.35,0,2,-2,-1.65,39.0,39.16,44.21,0.62,0.59,118,8,12,19,19.35,32.2,12.69,1,5,20,4,22,47.5,25.37,86.8,84.66,53.07,37.04,2,Beijing BIT 0-2 Shanghai Port II,2026-04-14
Shenzhen 2028,1.33,1.56,-0.23,1.09,0.38,0.71,0.24,0.42,-0.18,1.33,0.8,0.53,1,3,-2,-1.77,60.6,67.29,49.14,1.13,0.31,226,21,20,11,17.7,35.48,9.96,3,2,41,12,7,121.7,83.53,25.87,28.7,93.1,55.15,1,Chengdu Rongcheng II 3-1 Shenzhen 2028,2026-04-11
Chengdu Rongcheng II,1.56,1.33,0.23,0.38,1.09,-0.71,0.42,0.24,0.18,0.8,1.33,-0.53,3,1,2,1.77,39.4,32.71,42.33,0.31,1.13,110,5,11,20,35.48,17.7,14.04,2,3,10,3,8,24.0,16.47,64.27,71.3,75.7,44.85,0,Chengdu Rongcheng II 3-1 Shenzhen 2028,2026-04-11
Wuhan Three Towns II,1.13,0.92,0.21,1.02,0.06,0.96,0.11,0.09,0.02,1.13,0.16,0.97,1,1,0,-0.21,55.7,49.13,47.29,0.87,0.32,192,13,14,4,16.09,12.5,7.62,2,4,19,3,15,97.5,80.58,35.87,38.16,92.07,65.34,1,Hangzhou Linping Wuyue 1-1 Wuhan Three Towns II,2026-04-11
Hangzhou Linping Wuyue,0.92,1.13,-0.21,0.06,1.02,-0.96,0.09,0.11,-0.02,0.16,1.13,-0.97,1,1,0,0.21,44.3,50.87,45.67,0.32,0.87,141,6,4,14,12.5,16.09,8.18,4,2,20,8,20,23.5,19.42,58.13,61.84,48.83,34.66,6,Hangzhou Linping Wuyue 1-1 Wuhan Three Towns II,2026-04-11
Shanghai Second,0.91,0.63,0.28,0.81,0.37,0.44,0.09,0.26,-0.17,0.91,0.63,0.28,2,2,0,-0.28,46.9,47.84,43.11,0.7,0.5,130,15,14,8,20.0,16.0,9.33,5,3,24,3,19,69.9,52.24,61.33,54.63,63.73,40.19,1,Qingdao Red Lions 2-2 Shanghai Second,2026-04-11
Qingdao Red Lions,0.63,0.91,-0.28,0.37,0.81,-0.44,0.26,0.09,0.17,0.63,0.91,-0.28,2,2,0,0.28,53.1,52.16,48.79,0.5,0.7,204,7,8,14,16.0,20.0,9.41,3,5,8,3,15,63.9,47.76,50.93,45.37,94.83,59.81,1,Qingdao Red Lions 2-2 Shanghai Second,2026-04-11
Shandong Taishan II,1.99,0.21,1.78,1.91,0.21,1.7,0.08,0.0,0.08,1.99,0.21,1.78,1,0,1,-0.78,44.4,44.14,44.5,0.78,0.43,138,10,9,6,11.54,13.95,11.41,5,12,11,2,9,66.9,50.49,48.67,72.64,95.07,71.59,1,Shanxi Chongde Ronghai 0-1 Shandong Taishan II,2026-04-11
Shanxi Chongde Ronghai,0.21,1.99,-1.78,0.21,1.91,-1.7,0.0,0.08,-0.08,0.21,1.99,-1.78,0,1,-1,0.78,55.6,55.86,47.82,0.43,0.78,216,7,6,9,13.95,11.54,6.72,12,5,12,1,14,65.6,49.51,18.33,27.36,37.73,28.41,9,Shanxi Chongde Ronghai 0-1 Shandong Taishan II,2026-04-11
Lanzhou Longyuan,0.83,0.88,-0.05,0.44,0.09,0.35,0.39,0.03,0.36,0.83,0.12,0.71,1,1,0,0.05,52.2,48.8,45.89,0.28,0.17,138,11,7,5,25.0,29.41,7.45,3,1,19,8,21,64.3,51.61,33.27,54.12,80.57,60.78,3,Dalian Yingbo II 1-1 Lanzhou Longyuan,2026-04-11
